,en,fr
game_load_1,"Hello I'm the old man, welcome to the game!","Bonjour, je suis le vieux panda, bienvenue dans ce jeu !"
fallbacks_use_1,use fallback!,utiliser fallback !
fallbacks_use_2,I can't do that,Je ne peux pas faire ça
fallbacks_pick_up_3,pick_up fallback!,Prendre falback !
fallbacks_pick_up_4,That's not a good idea,Ce n'est pas une bonne idée
chameleon_look_1,Maybe he can help me...,Il peut aider…
chameleon_talk_2,What a strange critter…,Quel étrange créature
chameleon_talk_3,"You know I can hear you, right?","Tu sais que je t'entends, n'est-ce pas ?"
chameleon_talk_4,What? You can talk!?,Quoi ? Mais… tu sais parler ?
chameleon_talk_5,"Sure, can't you?","Bien sûr ! Comme toi, non ?"
chameleon_talk_6,...,…
chameleon_talk_7,Good point.,Tu marques un point.
chameleon_talk_8,You're a chameleon right?,"Tu es un caméléon, n'est-ce pas ?"
chameleon_talk_9,You're a chameleon right?,"Tu es un caméléon, n'est-ce pas ?"
chameleon_talk_10,That's right!,"Oui, c'est exact !"
chameleon_talk_11,What's a chameleon doing here?,Que fait un caméléon ici ?
chameleon_talk_12,What's a chameleon doing in this part of the world?,Que fait un caméléon ici ?
chameleon_talk_13,"Oh you know, I just like traveling a lot.","Oh, tu sais, je voyage beaucoup."
chameleon_talk_14,I have never seen one before!,Je n'en avais encore jamais vu !
chameleon_talk_15,Whoooah! I've never seen one before!,Whoaou ! Je n'en n'avais jamais vu encore !
chameleon_talk_16,I guess not many of us are around this part of the globe.,Je crois qu'il y en a très peu dans cette partie du monde.
chameleon_talk_17,Do you enjoy our bamboo forest?,Apprécies tu la forêt de bambou ?
chameleon_talk_18,Do you enjoy our bamboo forest? Are you comfortable?,Apprécies-tu la forêt de bambou ? Tu te sens bien ici ?
chameleon_talk_19,"Sure, I like it. Where are all other pandas though?",Oui ! Je l'aime bien. Où sont tous les pandas ?
chameleon_talk_20,Aliens,Extraterrestre
chameleon_talk_21,Aliens abducted them!,Les extraterrestre les ont enlevés
chameleon_talk_22,Hahahaha! Nice one little panda!,Hahaha ! Très bien petit panda
chameleon_talk_23,Forest destruction,Descruction de la forêt
chameleon_talk_24,The humans are destroying our forest with their machines...,Les humains ont détruis notre forêt avec leurs machines
chameleon_talk_25,"Ow, that doesn't sound so nice, are you doing anything about it?","Oh, cela ne semble pas bon ça, fais-tu quelque chose contre cela ?"
chameleon_talk_26,No,Non
chameleon_talk_27,No... We can't do anything I guess.,Non… mais je crois qu'il n'y a rien à faite.
chameleon_talk_28,"Oh, I see...","Oh, je vois…"
chameleon_talk_29,Imploring the Pandas' god,Implorer l'esprit du Panda
chameleon_talk_30,We are making offerings for the Pandas' god so that we can ask him for help. I'm actually gathering some fine bamboos for him! It would be my very first offering to him.,"On est en train de réaliser une offrande au Grand Panda, pour lui implorer notre aide. Je suis en train de collecter des bambous. Cela sera ma première offrande !"
chameleon_talk_31,Well! Today is your lucky day! default avatar_chameleo,"Super ! Aujourd'hui, c'est ton jour de chance ! Default avatar_chameleo"
chameleon_pick_up_32,Hey! Get your hands off me!,Hey ! Enlève tes sales pattes de moi !
good_bamboo_3_pick_up_1,Come with me.,Viens avec moi.
good_bamboo_3_look_2,This one look like delicious.,Celui-là a l'air délicieux.
good_bamboo_3_talk_3,All bamboos are alike! How am I supposed to do?,Tous les bambous se ressemblent. Comment je fais moi ?
good_bamboo_2_pick_up_1,You were hiding little bamboo?,Où te caches tu petit bambou ?
good_bamboo_2_pick_up_2,Hey! It's mine!,"Hé, celui là est à moi !"
good_bamboo_2_pick_up_3,"Sorry, I need this one in particular for my mission…",Pardon mais j'ai besoin de celui-là exactement pour ma mission…
good_bamboo_2_pick_up_4,"I'm just kidding, the forest belongs to no one. Takes all the bamboos that you need.",Je rigole ! La forêt n'appartient à personne. Prend tous les bambous dont tu as besoins.
good_bamboo_2_look_5,Is it well enough for the pandas' god?,Est-ce suffisant pour le dieu des Pandas ?
good_bamboo_2_talk_6,I see you little bamboo!,Je te vois petit bambou !
