,,,,,
#,game,,,,
##,load,,,,
,,,,,
game_load_1,"Hello I'm the old man, welcome to the game!",old_man,"game/game.esc:9, ",,"Bonjour, je suis le vieux panda, bienvenue dans ce jeu !"
,,,,,
#,fallbacks,,,,
##,use,,,,
,,,,,
fallbacks_use_1,use fallback!,debug,"game/fallbacks.esc:4, ",,utiliser fallback !
fallbacks_use_2,I can't do that,player,"game/fallbacks.esc:5, ",,Je ne peux pas faire ça
,,,,,
##,pick_up,,,,
,,,,,
fallbacks_pick_up_3,pick_up fallback!,debug,"game/fallbacks.esc:8, ",,Prendre falback !
fallbacks_pick_up_4,That's not a good idea,player,"game/fallbacks.esc:9, ",,Ce n'est pas une bonne idée
,,,,,
#,inv_bad_bamboo,,,,
,,,,,
#,inv_good_bamboo,,,,
,,,,,
#,chameleon,,,,
##,look,,,,
,,,,,
chameleon_look_1,Maybe he can help me...,player,"scenes/second_scene/chameleon.esc:3, ",,Il peut aider…
,,,,,
##,talk,,,,
,,,,,
chameleon_talk_2,What a strange critter…,player,"scenes/second_scene/chameleon.esc:8, ",,Quel étrange créature
chameleon_talk_3,"You know I can hear you, right?",chameleon,"scenes/second_scene/chameleon.esc:9, ",,"Tu sais que je t'entends, n'est-ce pas ?"
chameleon_talk_4,What? You can talk!?,player,"scenes/second_scene/chameleon.esc:11, ",,Quoi ? Mais… tu sais parler ?
chameleon_talk_5,"Sure, can't you?",chameleon,"scenes/second_scene/chameleon.esc:12, ",,"Bien sûr ! Comme toi, non ?"
chameleon_talk_6,...,player,"scenes/second_scene/chameleon.esc:13, scenes/second_scene/bamboo_god_2.esc:30, ",,…
chameleon_talk_7,Good point.,player,"scenes/second_scene/chameleon.esc:14, ",,Tu marques un point.
chameleon_talk_8,You're a chameleon right?,-,"scenes/second_scene/chameleon.esc:17, ",,"Tu es un caméléon, n'est-ce pas ?"
chameleon_talk_9,You're a chameleon right?,player,"scenes/second_scene/chameleon.esc:18, ",,"Tu es un caméléon, n'est-ce pas ?"
chameleon_talk_10,That's right!,chameleon,"scenes/second_scene/chameleon.esc:19, ",,"Oui, c'est exact !"
chameleon_talk_11,What's a chameleon doing here?,-,"scenes/second_scene/chameleon.esc:21, ",,Que fait un caméléon ici ?
chameleon_talk_12,What's a chameleon doing in this part of the world?,player,"scenes/second_scene/chameleon.esc:22, ",,Que fait un caméléon ici ?
chameleon_talk_13,"Oh you know, I just like traveling a lot.",chameleon,"scenes/second_scene/chameleon.esc:23, ",,"Oh, tu sais, je voyage beaucoup."
chameleon_talk_14,I have never seen one before!,-,"scenes/second_scene/chameleon.esc:24, ",,Je n'en avais encore jamais vu !
chameleon_talk_15,Whoooah! I've never seen one before!,player,"scenes/second_scene/chameleon.esc:25, ",,Whoaou ! Je n'en n'avais jamais vu encore !
chameleon_talk_16,I guess not many of us are around this part of the globe.,chameleon,"scenes/second_scene/chameleon.esc:26, ",,Je crois qu'il y en a très peu dans cette partie du monde.
chameleon_talk_17,Do you enjoy our bamboo forest?,-,"scenes/second_scene/chameleon.esc:27, ",,Apprécies tu la forêt de bambou ?
chameleon_talk_18,Do you enjoy our bamboo forest? Are you comfortable?,player,"scenes/second_scene/chameleon.esc:28, ",,Apprécies-tu la forêt de bambou ? Tu te sens bien ici ?
chameleon_talk_19,"Sure, I like it. Where are all other pandas though?",chameleon,"scenes/second_scene/chameleon.esc:29, ",,Oui ! Je l'aime bien. Où sont tous les pandas ?
chameleon_talk_20,Aliens,-,"scenes/second_scene/chameleon.esc:31, ",,Extraterrestre
chameleon_talk_21,Aliens abducted them!,player,"scenes/second_scene/chameleon.esc:32, ",,Les extraterrestre les ont enlevés 
chameleon_talk_22,Hahahaha! Nice one little panda!,chameleon,"scenes/second_scene/chameleon.esc:33, ",,Hahaha ! Très bien petit panda 
chameleon_talk_23,Forest destruction,-,"scenes/second_scene/chameleon.esc:34, ",,Descruction de la forêt
chameleon_talk_24,The humans are destroying our forest with their machines...,player,"scenes/second_scene/chameleon.esc:35, ",,Les humains ont détruis notre forêt avec leurs machines
chameleon_talk_25,"Ow, that doesn't sound so nice, are you doing anything about it?",chameleon,"scenes/second_scene/chameleon.esc:36, ",,"Oh, cela ne semble pas bon ça, fais-tu quelque chose contre cela ?"
chameleon_talk_26,No,-,"scenes/second_scene/chameleon.esc:38, ",,Non
chameleon_talk_27,No... We can't do anything I guess.,player,"scenes/second_scene/chameleon.esc:39, ",,Non… mais je crois qu'il n'y a rien à faite.
chameleon_talk_28,"Oh, I see...",chameleon,"scenes/second_scene/chameleon.esc:40, ",,"Oh, je vois…"
chameleon_talk_29,Imploring the Pandas' god,-,"scenes/second_scene/chameleon.esc:41, ",,Implorer l'esprit du Panda
chameleon_talk_30,We are making offerings for the Pandas' god so that we can ask him for help. I'm actually gathering some fine bamboos for him! It would be my very first offering to him.,player,"scenes/second_scene/chameleon.esc:42, ",,"On est en train de réaliser une offrande au Grand Panda, pour lui implorer notre aide. Je suis en train de collecter des bambous. Cela sera ma première offrande !"
chameleon_talk_31,Well! Today is your lucky day! default avatar_chameleo,chameleon,"scenes/second_scene/chameleon.esc:43, ",,"Super ! Aujourd'hui, c'est ton jour de chance ! Default avatar_chameleo"
,,,,,
##,pick_up,,,,
,,,,,
chameleon_pick_up_32,Hey! Get your hands off me!,chameleon,"scenes/second_scene/chameleon.esc:47, ",,Hey ! Enlève tes sales pattes de moi !
,,,,,
##,back_to_green,,,,
,,,,,
,,,,,
#,player,,,,
##,talk,,,,
,,,,,
,,,,,
#,good_bamboo_3,,,,
##,pick_up,,,,
,,,,,
good_bamboo_3_pick_up_1,Come with me.,player,"scenes/second_scene/good_bamboo_3.esc:2, ",,Viens avec moi.
,,,,,
##,look,,,,
,,,,,
good_bamboo_3_look_2,This one look like delicious.,player,"scenes/second_scene/good_bamboo_3.esc:10, ",,Celui-là a l'air délicieux.
,,,,,
##,talk,,,,
,,,,,
good_bamboo_3_talk_3,All bamboos are alike! How am I supposed to do?,player,"scenes/second_scene/good_bamboo_3.esc:13, ",,Tous les bambous se ressemblent. Comment je fais moi ?
,,,,,
#,good_bamboo_2,,,,
##,pick_up,,,,
,,,,,
good_bamboo_2_pick_up_1,You were hiding little bamboo?,player,"scenes/second_scene/good_bamboo_2.esc:2, ",,Où te caches tu petit bambou ?
good_bamboo_2_pick_up_2,Hey! It's mine!,chameleon,"scenes/second_scene/good_bamboo_2.esc:3, ",,"Hé, celui là est à moi !"
good_bamboo_2_pick_up_3,"Sorry, I need this one in particular for my mission…",player,"scenes/second_scene/good_bamboo_2.esc:4, ",,Pardon mais j'ai besoin de celui-là exactement pour ma mission…
good_bamboo_2_pick_up_4,"I'm just kidding, the forest belongs to no one. Takes all the bamboos that you need.",chameleon,"scenes/second_scene/good_bamboo_2.esc:5, ",,Je rigole ! La forêt n'appartient à personne. Prend tous les bambous dont tu as besoins.
,,,,,
##,look,,,,
,,,,,
good_bamboo_2_look_5,Is it well enough for the pandas' god?,player,"scenes/second_scene/good_bamboo_2.esc:13, ",,Est-ce suffisant pour le dieu des Pandas ?
,,,,,
##,talk,,,,
,,,,,
good_bamboo_2_talk_6,I see you little bamboo!,player,"scenes/second_scene/good_bamboo_2.esc:16, ",,Je te vois petit bambou !
,,,,,
#,bamboo_god_2,,,,
##,use,,,,
,,,,,
bamboo_god_2_use_1,"Thank you for your kind offering young panda, you shall receive my blessings. I promess to protect you from the humans now and fo the rest of your days!",bamboo_god_2,"scenes/second_scene/bamboo_god_2.esc:4, ",,"Merci pour ce présent jeune panda, reçois ma bénédiction. Je te protègerai toute ta vie durant contre les humains."
,,,,,
##,use,,,,
,,,,,
bamboo_god_2_use_2,What is the meaning of this! [i]“Made in China”?![/i] Be wary of my wrath as I shall curse you and all your lineage!,bamboo_god_2,"scenes/second_scene/bamboo_god_2.esc:13, ",,Quoi ? [i]Made in China[/i] ? Méfies-toi de ma colère sinon je jette ma malédiction sur toi et tous tes futurs descendants !
,,,,,
##,use,,,,
,,,,,
,,,,,
##,look,,,,
,,,,,
